prot_category,avg(l4_ul_throughput),avg(l4_dw_throughput),avg(l4_ul_packets),avg(l4_dw_packets),sum(l4_ul_throughput),sum(l4_dw_throughput),sum(l4_ul_packets),sum(l4_dw_packets)
2,14152.456705450091,14152.456705450091,250.3282914880588,236.63557868952847,30275359958,30275359958,535509791,506217929
4,40798.470611888624,17874.051018506714,251.55470121514668,263.843933583751,1397737978224,612357266304,8618155392,9039179184
6,28428.8904921207,28429.11921899918,662.2746433343391,423.14968519261436,2023587415728,2023603696660,47141151512,30120077256
