prot_category,avg(l4_ul_throughput),avg(l4_dw_throughput),avg(l4_ul_packets),avg(l4_dw_packets),sum(l4_ul_throughput),sum(l4_dw_throughput),sum(l4_ul_packets),sum(l4_dw_packets)
2,6797948.368930024,6797948.368930024,6724.334865898977,4979.763401239828,3.110948506221088e+19,3.110948506221088e+19,3.077260722074504e+16,2.278891611655451e+16
4,660295594.3321424,212569768.39196503,33012.64376201437,38878.79147557841,7.750008240889712e+23,2.494969633211064e+23,3.874753419609684e+19,4.563273735550623e+19
6,485249168.40844953,485814180.53674394,261478.25319047828,355380.4027777575,2.458605894468939e+24,2.4614686343549796e+24,1.324828596158306e+21,1.8006014434066694e+21
17,167987373.7534083,169003898.2011888,66114.03381946955,71138.60458566569,6.817771071741243e+23,6.859026737681761e+23,2.6832394431748558e+20,2.8871617526454134e+20
